Disease,symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4
(vertigo) paroymsal  positional vertigo,"headache,loss_of_balance,nausea,spinning_movements,unsteadiness,vomiting",lie down,avoid sudden change in body,avoid abrupt head movment,relax
aids,"extra_marital_contacts,high_fever,muscle_wasting,patches_in_throat",avoid open cuts,wear ppe if possible,consult doctor,follow up
acne,"blackheads,pus_filled_pimples,scurring,skin_rash",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
alcoholic hepatitis,"abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,swelling_of_stomach,vomiting,yellowish_skin",stop alcohol consumption,consult doctor,medication,follow up
allergy,"chills,continuous_sneezing,shivering,watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
arthritis,"movement_stiffness,muscle_weakness,painful_walking,stiff_neck,swelling_joints",exercise,use hot and cold therapy,try acupuncture,massage
bronchial asthma,"breathlessness,cough,family_history,fatigue,high_fever,mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
cervical spondylosis,"back_pain,dizziness,loss_of_balance,neck_pain,weakness_in_limbs",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
chicken pox,"fatigue,headache,high_fever,itching,lethargy,skin_rash",use neem in bathing,consume neem leaves,take vaccine,avoid public places
chronic cholestasis,"abdominal_pain,itching,loss_of_appetite,nausea,vomiting,yellowish_skin",cold baths,anti itch medicine,consult doctor,eat healthy
common cold,"chills,continuous_sneezing,cough,fatigue,headache,high_fever",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
dengue,"chills,fatigue,high_fever,joint_pain,skin_rash,vomiting",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
diabetes,"blurred_and_distorted_vision,fatigue,irregular_sugar_level,lethargy,restlessness,weight_loss",have balanced diet,exercise,consult doctor,follow up
dimorphic hemmorhoids(piles),"bloody_stool,constipation,irritation_in_anus,pain_during_bowel_movements,pain_in_anal_region",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
drug reaction,"burning_micturition,itching,skin_rash,spotting_urination,stomach_pain",stop irritation,consult nearest hospital,stop taking drug,follow up
fungal infection,"dischromic_patches,itching,nodal_skin_eruptions,skin_rash",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
gerd,"acidity,chest_pain,cough,stomach_pain,ulcers_on_tongue,vomiting",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gastroenteritis,"dehydration,diarrhoea,sunken_eyes,vomiting",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
heart attack,"breathlessness,chest_pain,sweating,vomiting",call ambulance,chew or swallow asprin,keep calm,
hepatitis b,"dark_urine,fatigue,itching,lethargy,loss_of_appetite,yellowish_skin",consult nearest hospital,vaccination,eat healthy,medication
hepatitis c,"family_history,fatigue,loss_of_appetite,nausea,yellowing_of_eyes,yellowish_skin",consult nearest hospital,vaccination,eat healthy,medication
hepatitis d,"dark_urine,fatigue,joint_pain,nausea,vomiting,yellowish_skin",consult doctor,medication,eat healthy,follow up
hepatitis e,"dark_urine,fatigue,high_fever,joint_pain,vomiting,yellowish_skin",stop alcohol consumption,rest,consult doctor,medication
hypertension,"chest_pain,dizziness,headache,lack_of_concentration,loss_of_balance",meditation,salt baths,reduce stress,get proper sleep
hyperthyroidism,"diarrhoea,fatigue,mood_swings,restlessness,sweating,weight_loss",eat healthy,massage,use lemon balm,take radioactive iodine treatment
hypoglycemia,"anxiety,fatigue,headache,nausea,sweating,vomiting",lie down on side,check in pulse,drink sugary drinks,consult doctor
hypothyroidism,"cold_hands_and_feets,dizziness,fatigue,lethargy,mood_swings,weight_gain",reduce stress,exercise,eat healthy,get proper sleep
impetigo,"blister,high_fever,red_sore_around_nose,skin_rash,yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
jaundice,"fatigue,high_fever,itching,vomiting,weight_loss,yellowish_skin",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
malaria,"chills,headache,high_fever,nausea,sweating,vomiting",consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
migraine,"acidity,blurred_and_distorted_vision,excessive_hunger,headache,indigestion,stiff_neck",meditation,reduce stress,use poloroid glasses in sun,consult doctor
osteoarthristis,"hip_joint_pain,joint_pain,knee_pain,neck_pain,painful_walking,swelling_joints",acetaminophen,consult nearest hospital,follow up,salt baths
paralysis (brain hemorrhage),"altered_sensorium,headache,vomiting,weakness_of_one_body_side",massage,eat healthy,exercise,consult doctor
peptic ulcer diseae,"abdominal_pain,indigestion,internal_itching,loss_of_appetite,passage_of_gases,vomiting",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
pneumonia,"breathlessness,chills,cough,fatigue,high_fever,sweating",consult doctor,medication,rest,follow up
psoriasis,"inflammatory_nails,joint_pain,silver_like_dusting,skin_peeling,skin_rash,small_dents_in_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
tuberculosis,"chills,cough,fatigue,high_fever,vomiting,weight_loss",cover mouth,consult doctor,medication,rest
typhoid,"chills,fatigue,headache,high_fever,nausea,vomiting",eat high calorie vegitables,antiboitic therapy,consult doctor,medication
urinary tract infection,"bladder_discomfort,burning_micturition,continuous_feel_of_urine,foul_smell_ofurine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
varicose veins,"bruising,cramps,fatigue,obesity,swollen_blood_vessels,swollen_legs",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
hepatitis a,"dark_urine,joint_pain,loss_of_appetite,nausea,vomiting,yellowish_skin",consult nearest hospital,wash hands through,avoid fatty spicy food,medication
